Company,Country,Production_Mt
China Baowu Group,China,130.77
ArcelorMittal,Luxembourg,68.52
Nippon Steel Corporation,Japan,43.66
HBIS Group,China,41.34
Shagang Group,China,40.54
POSCO Holdings,South Korea,38.44
Jianlong Group,China,36.99
Shougang Group,China,33.58
Tata Steel Group,India,29.5
JSW Steel Limited,India,26.15
JFE Steel Corporation,Japan,25.09
Nucor Corporation,USA,21.2
Hyundai Steel,South Korea,19.24
SAIL,India,19.18
Cleveland-Cliffs,USA,17.27
U.S. Steel,USA,15.75
NLMK,Russia,14.24
MMK,Russia,12.99
Gerdau S.A.,Brazil,12.74
thyssenkrupp,Germany,10.35
Mobarakeh Steel Company,Iran,10.33
SSAB,Sweden,7.78
Jindal Steel and Power Ltd,India,7.9
